epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,924.303,0.73705,0.628,1.17803,0.87234,0.87619,0.93578,0.72083,0.857,0.56316,1.30586,0.000911,0.000911,0.000911
57,941.95,0.75172,0.62531,1.18142,0.87637,0.87766,0.91185,0.67853,0.92414,0.59285,1.32698,0.0008912,0.0008912,0.0008912
58,958.2,0.72705,0.59152,1.15832,0.90325,0.80018,0.89841,0.67175,0.89694,0.66962,1.33846,0.0008714,0.0008714,0.0008714
59,974.482,0.74666,0.61002,1.17832,0.88062,0.82857,0.90579,0.69128,0.90264,0.61413,1.31142,0.0008516,0.0008516,0.0008516
60,991.854,0.7475,0.64476,1.16959,0.86795,0.8,0.91266,0.71143,0.88541,0.63737,1.29958,0.0008318,0.0008318,0.0008318
61,1008.25,0.71379,0.58655,1.1504,0.87698,0.81474,0.90469,0.69387,0.82281,0.64655,1.22322,0.000812,0.000812,0.000812
62,1024.52,0.71307,0.58716,1.13648,0.88857,0.85714,0.93384,0.71561,0.87704,0.60787,1.33068,0.0007922,0.0007922,0.0007922
63,1040.78,0.72112,0.58436,1.14115,0.8741,0.85714,0.9241,0.70541,0.86094,0.56216,1.27844,0.0007724,0.0007724,0.0007724
64,1057.18,0.72923,0.56653,1.16656,0.86976,0.8381,0.91064,0.6815,0.88452,0.6487,1.32005,0.0007526,0.0007526,0.0007526
65,1073.78,0.71546,0.5741,1.15338,0.89014,0.84885,0.89365,0.69231,0.8543,0.63631,1.28214,0.0007328,0.0007328,0.0007328
66,1090.74,0.7217,0.58871,1.16223,0.92731,0.85714,0.92205,0.70153,0.91351,0.5916,1.3352,0.000713,0.000713,0.000713
67,1107.49,0.69938,0.57676,1.15798,0.95556,0.81905,0.94988,0.73379,0.82148,0.54454,1.25554,0.0006932,0.0006932,0.0006932
68,1124.06,0.71985,0.57582,1.14937,0.9178,0.81905,0.92879,0.70517,0.90133,0.58186,1.30078,0.0006734,0.0006734,0.0006734
69,1140.25,0.69346,0.5592,1.13492,0.87944,0.87619,0.92122,0.71164,0.83786,0.56939,1.26494,0.0006536,0.0006536,0.0006536
70,1156.49,0.6888,0.53482,1.12604,0.87789,0.89524,0.92102,0.7081,0.88626,0.59544,1.29452,0.0006338,0.0006338,0.0006338
71,1172.63,0.66668,0.54128,1.12253,0.88006,0.83855,0.89935,0.67611,0.86705,0.62816,1.29993,0.000614,0.000614,0.000614
72,1190.07,0.67335,0.53012,1.12627,0.89006,0.84814,0.91413,0.71341,0.82467,0.58316,1.27399,0.0005942,0.0005942,0.0005942
73,1206.99,0.66696,0.54552,1.10871,0.84693,0.85714,0.91913,0.72464,0.76791,0.57627,1.24643,0.0005744,0.0005744,0.0005744
74,1223.78,0.67098,0.52504,1.12786,0.90863,0.85246,0.93587,0.7321,0.84281,0.56462,1.27559,0.0005546,0.0005546,0.0005546
75,1239.96,0.66737,0.52722,1.12308,0.88396,0.87059,0.92192,0.71998,0.94519,0.55389,1.41199,0.0005348,0.0005348,0.0005348
76,1256.25,0.66408,0.53674,1.11747,0.89571,0.86667,0.92203,0.71462,0.83767,0.60144,1.28841,0.000515,0.000515,0.000515
77,1272.28,0.64719,0.51584,1.1114,0.8786,0.85714,0.94394,0.72544,0.83762,0.5693,1.30658,0.0004952,0.0004952,0.0004952
78,1288.75,0.64767,0.50819,1.10103,0.87694,0.84762,0.90682,0.70007,0.81882,0.5776,1.30317,0.0004754,0.0004754,0.0004754
79,1305.44,0.65982,0.5279,1.1147,0.8916,0.86167,0.92534,0.71679,0.82216,0.54936,1.29501,0.0004556,0.0004556,0.0004556
80,1322.73,0.65507,0.50761,1.11349,0.89203,0.86549,0.92777,0.71985,0.84634,0.57637,1.28511,0.0004358,0.0004358,0.0004358
81,1338.99,0.63602,0.50311,1.08827,0.86646,0.87619,0.92863,0.72027,0.94464,0.61332,1.42565,0.000416,0.000416,0.000416
82,1355.5,0.64332,0.50136,1.10578,0.92355,0.8381,0.92743,0.72369,0.80971,0.56485,1.29796,0.0003962,0.0003962,0.0003962
83,1371.7,0.64967,0.49232,1.1181,0.8945,0.85714,0.92423,0.71537,0.80921,0.54916,1.29399,0.0003764,0.0003764,0.0003764
84,1388.09,0.63664,0.48881,1.08749,0.88786,0.82949,0.91456,0.69739,0.91495,0.64245,1.39297,0.0003566,0.0003566,0.0003566
85,1404.76,0.62217,0.46318,1.08821,0.8679,0.87619,0.93691,0.711,0.81474,0.56118,1.282,0.0003368,0.0003368,0.0003368
86,1422.33,0.62034,0.46482,1.08113,0.90717,0.84762,0.92764,0.7106,0.85027,0.6029,1.29928,0.000317,0.000317,0.000317
